step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
1,385,1,0.08089213090951299,0.0,0.0,0.0690756771809148,0.0,0.0,,,,,,
2,642,2,0.0851469166305833,0.0,0.0,,,,,,,,,
3,755,3,0.14881029557002226,0.0,0.0,,,,,,,,,
4,1100,4,0.05152352830879883,0.0,0.0,,,,,,,,,
5,1477,5,0.04595106806018018,0.0,0.0,,,,,,,,,
6,1702,6,0.05196418559843875,0.0,0.0,,,,,,,,,
7,1791,7,0.06428473206692037,0.0,0.0,,,,,,,,,
8,2032,8,0.03991724051697142,1.0,1.0,,,,,,,,,
9,3945,9,0.012630685269079938,1.0,1.0,0.036124667455989086,1.0,1.0,,,,,,
10,4178,10,0.04420702219907101,0.0,0.0,,,,,,,,,
11,4419,11,0.0452038783669074,1.0,1.0,,,,,,,,,
12,4780,12,0.045793780980421514,1.0,1.0,,,,,,,,,
13,5821,13,0.03352379532129768,1.0,1.0,,,,,,,,,
14,6222,14,0.03406804789145827,1.0,1.0,,,,,,,,,
15,6511,15,0.04206586967850701,0.0,0.0,,,,,,,,,
16,7672,16,0.027326552215712296,1.0,1.0,,,,,,,,,
17,7809,17,0.0408076982436058,0.0,0.0,0.03009838161302772,1.0,1.0,,,,,,
18,8378,18,0.028038070765613696,1.0,1.0,,,,,,,,,
19,8675,19,0.03084034034208024,1.0,1.0,,,,,,,,,
20,9196,20,0.03179239336710117,1.0,1.0,,,,,,,,,
21,9405,21,0.03358533860218953,1.0,1.0,,,,,,,,,
22,9654,22,0.03367025589721908,1.0,1.0,,,,,,,,,
23,10199,23,0.03230561321714851,1.0,1.0,,,,,,,,,
24,10320,24,0.036956084763864055,1.0,1.0,,,,,,,,,
25,10697,25,0.02974027477933058,1.0,1.0,0.032782636606096385,1.0,1.0,,,,,,
26,11098,26,0.030629956179865987,1.0,1.0,,,,,,,,,
27,11891,27,0.03069126790538075,1.0,1.0,,,,,,,,,
28,12076,28,0.034158651458158634,1.0,1.0,,,,,,,,,
29,12589,29,0.03306515154364888,1.0,1.0,,,,,,,,,
30,13030,30,0.03044096978950818,1.0,1.0,,,,,,,,,
31,13263,31,0.031321561712134884,1.0,1.0,,,,,,,,,
