articleID,abstract,byline,documentType,headline,keywords,multimedia,newDesk,printPage,pubDate,sectionName,snippet,source,typeOfMaterial,webURL,articleWordCount
58927e0495d0e0392607e1b3,,By KEN BELSON,article,N.F.L. vs. Politics Has Been Battle All Season Long,"['Football', 'Super Bowl', 'National Football League', 'New England Patriots', 'Goodell, Roger', 'Lady Gaga', 'Immigration and Emigration', 'Trump, Donald J']",1,Sports,12,2017-02-02 00:26:16,Pro Football,"Despite the national tumult over immigration spilling over, Commissioner Roger Goodell said, “I’m singularly focused on the Super Bowl right now.”",The New York Times,News,https://www.nytimes.com/2017/02/01/sports/super-bowl-politics-trump-nfl.html,1129
5893033d95d0e0392607e2d6,,By UNKNOWN,article,Voice. Vice. Veracity.,"['Television', 'Home Box Office', 'Girls (TV Program)', 'Dunham, Lena', 'Mamet, Zosia', 'Kirke, Jemima', 'Williams, Allison (1988- )', 'Women and Girls', 'Writing and Writers']",1,Arts&Leisure,1,2017-02-02 10:00:24,Television,Our critics look at the impact of the HBO show on television as it enters its sixth and final season.,The New York Times,News,https://www.nytimes.com/2017/02/02/arts/television/girls-season-six.html,3082
5893039595d0e0392607e2da,,By MANOHLA DARGIS,article,A Stand-Up’s Downward Slide,"['Movies', 'The Comedian (Movie)', 'De Niro, Robert', 'Hackford, Taylor', 'Falco, Edie']",1,Weekend,5,2017-02-02 10:01:53,Unknown,"Joined by a cast that includes Edie Falco and Harvey Keitel, Mr. De Niro plays an insult comic in a film that, like its jokes, lacks zing.",The New York Times,Review,https://www.nytimes.com/2017/02/02/movies/the-comedian-review-robert-de-niro.html,693
5893109995d0e0392607e2ef,,By ALEXANDRA S. LEVINE,article,New York Today: A Groundhog Has Her Day,"['New York City', 'Groundhogs']",1,Metro,0,2017-02-02 10:57:25,Unknown,"Thursday: A meet-and-greet with Staten Island Chuck, bodegas shut in protest, and Prairie Dog Day.",The New York Times,briefing,https://www.nytimes.com/2017/02/02/nyregion/new-york-today-groundhog-day-punxsutawney-phil-staten-island-chuck.html,1049
5893114495d0e0392607e2f1,,By BONNIE TSUI,article,A Swimmer’s Communion With the Ocean,"['Travel and Vacations', 'Swimming', 'Oceans and Seas', 'Hawaii']",1,Travel,4,2017-02-02 11:00:03,Unknown,"“We swam in that heaving body of aquamarine, and what I remember most is the profound feeling that the ocean water had weight.”",The New York Times,News,https://www.nytimes.com/2017/02/02/travel/hawaii-swimming-ocean-water.html,1283
5892a0d995d0e0392607e1fb,,By CAITLIN LOVINGER,article,Trail Activity,['Crossword Puzzles'],1,Games,0,2017-02-02 03:00:33,Unknown,A debut by Alex Eaton-Salners looks both ways.,The New York Times,News,https://www.nytimes.com/2017/02/01/crosswords/trail-activity-vitruvian-man-british-crown-colony.html,837
5892e7bd95d0e0392607e281,,By KATHERINE SCHULTEN,article,Super Bowl,[],1,Learning,0,2017-02-02 08:03:02,Unknown,"Whether you’re a football fan or not, what do you like about Super Bowl Sunday?",The New York Times,News,https://www.nytimes.com/2017/02/02/learning/super-bowl.html,97
5892ec0795d0e0392607e28c,,By IOAN GRILLO,article,Trump’s Mexican Shakedown,"['Trump, Donald J', 'Mexico', 'Border Barriers', 'Illegal Immigration', 'Pena Nieto, Enrique', 'United States International Relations']",1,OpEd,27,2017-02-02 08:21:23,Unknown,You just can’t force a neighboring country to pay for your infrastructure.,The New York Times,Op-Ed,https://www.nytimes.com/2017/02/02/opinion/trumps-mexican-shakedown.html,870
5892ec0795d0e0392607e28f,,By GAIL COLLINS,article,Pence’s Presidential Pet,"['Trump, Donald J', 'Supreme Court (US)', 'Pence, Mike', 'Gorsuch, Neil M', 'United States Politics and Government']",1,OpEd,27,2017-02-02 08:21:23,Unknown,Whose hand is busy behind the curtain?,The New York Times,Op-Ed,https://www.nytimes.com/2017/02/02/opinion/pences-presidential-pet.html,804
5892ec0795d0e0392607e28e,,By CHARLES M. BLOW,article,Fruit of a Poison Tree,"['United States Politics and Government', 'Appointments and Executive Changes', 'Supreme Court (US)', 'Gorsuch, Neil M']",1,OpEd,0,2017-02-02 08:21:23,Unknown,Democrats must oppose Neil Gorsuch on principle.,The New York Times,Op-Ed,https://www.nytimes.com/2017/02/02/opinion/fruit-of-a-poison-tree.html,864
