articleID,abstract,byline,documentType,headline,keywords,multimedia,newDesk,printPage,pubDate,sectionName,snippet,source,typeOfMaterial,webURL,articleWordCount
58691a5795d0e039260788b9,,By JENNIFER STEINHAUER,article, G.O.P. Leadership Poised to Topple Obama’s Pillars,"['United States Politics and Government', 'Law and Legislation', 'House of Representatives', 'Senate', 'Patient Protection and Affordable Care Act (2010)', 'Trump, Donald J', 'McConnell, Mitch']",1,National,1,2017-01-01 15:03:38,Politics,The most powerful and ambitious Republican-led Congress in 20 years plans quick action on several priorities — most notably to clear a path for the repeal of President Obama’s health care law.,The New York Times,News,https://www.nytimes.com/2017/01/01/us/politics/with-new-congress-poised-to-convene-obamas-policies-are-in-peril.html,1324
586967bf95d0e03926078915,,By MARK LANDLER,article,Fractured World Tested the Hope of a Young President,"['Obama, Barack', 'Afghanistan', 'United States Defense and Military Forces', 'Afghanistan War (2001-14)']",1,Foreign,1,2017-01-01 20:34:00,Asia Pacific,A strategy that went from a “good war” to the shorthand “Afghan good enough” reflects the president’s coming to terms with what was possible in Afghanistan.,The New York Times,News,https://www.nytimes.com/2017/01/01/world/asia/obama-afghanistan-war.html,2836
58698a1095d0e0392607894a,,By CAITLIN LOVINGER,article,Little Troublemakers,"['Crossword Puzzles', 'Boxing Day', 'Holidays and Special Occasions']",1,Games,0,2017-01-01 23:00:24,Unknown,Chuck Deodene puts us in a bubbly mood.,The New York Times,News,https://www.nytimes.com/2017/01/01/crosswords/little-troublemakers.html,445
5869911a95d0e0392607894e,,By JOCHEN BITTNER,article,"Angela Merkel, Russia’s Next Target","['Cyberwarfare and Defense', 'Presidential Election of 2016', 'Merkel, Angela', 'Putin, Vladimir V']",1,OpEd,15,2017-01-01 23:30:27,Unknown,"With a friend entering the White House, Vladimir Putin can turn his hacking army on Germany. The history of the Cold War can tell us what to expect.",The New York Times,Op-Ed,https://www.nytimes.com/2017/01/01/opinion/angela-merkel-russias-next-target.html,864
5869a61795d0e03926078962,,By JIAYIN SHEN,article,Boots for a Stranger on a Bus,"['Shoes and Boots', 'Buses', 'New York City']",0,Metro,12,2017-01-02 01:00:02,Unknown,Witnessing an act of generosity on a rainy day.,The New York Times,Brief,https://www.nytimes.com/2017/01/01/nyregion/metropolitan-diary-giving-boots-to-a-stranger-on-a-bus.html,309
5869afd495d0e0392607896c,,By MICHAEL POWELL,article,"Molder of Navajo Youth, Where a Game Is Sacred","['Coaches and Managers', 'Education (K-12)', 'Navajo Indians', 'Interscholastic Athletics', 'Arizona', 'Mendoza, Raul (1947- )', 'Chinle (Ariz)']",1,Sports,1,2017-01-02 01:41:34,Pro Basketball,"In a place of poverty, social ills and fractured families, Raul Mendoza, 69, coach of the Chinle, Ariz., Wildcats, is a source of quiet strength for his young players.",The New York Times,News,https://www.nytimes.com/2017/01/01/sports/basketball/navajo-nation-raul-mendoza-arizona.html,2180
5869d08f95d0e03926078980,,By MIKE HALE,article,"‘The Affair’ Season 3, Episode 6: Noah Goes Home","['Television', 'The Affair (TV Program)']",1,Culture,0,2017-01-02 04:01:12,Television,"As usual, Noah’s story this week was dour.",The New York Times,Review,https://www.nytimes.com/2017/01/01/arts/television/the-affair-season-3-episode-6-recap.html,1146
586a0d8795d0e039260789b3,,By THE EDITORIAL BOARD,article,Sprint and Mr. Trump’s Fictional Jobs,"['Trump, Donald J', 'Son, Masayoshi', 'Wireless Communications', 'SOFTBANK Corporation', 'Sprint Nextel Corporation', 'Labor and Jobs', 'United States Politics and Government', 'Carrier Corp']",1,Editorial,14,2017-01-02 08:21:21,Unknown,"The emerging, and dangerous, new form of crony capitalism.",The New York Times,Editorial,https://www.nytimes.com/2017/01/02/opinion/why-corporations-are-helping-donald-trump-lie-about-jobs.html,557
586a0d8795d0e039260789b6,,By PAUL KRUGMAN,article,America  Becomes a Stan,"['Trump, Donald J', 'United States Politics and Government', 'Ethics and Official Misconduct', 'Corruption (Institutional)', 'Conflicts of Interest', 'Appointments and Executive Changes', 'Democracy (Theory and Philosophy)', 'Comey, James B']",1,OpEd,15,2017-01-02 08:21:21,Unknown,Rule of law is for the little people.,The New York Times,Op-Ed,https://www.nytimes.com/2017/01/02/opinion/america-becomes-a-stan.html,784
586a32f495d0e039260789f3,,By JANE E. BRODY,article,"Fighting Diabetes, and Leading by Example","['Adams, Eric L', 'Diabetes', 'Diet and Nutrition', 'Exercise', 'Obesity', 'Veganism']",1,Science,5,2017-01-02 11:01:03,Unknown,"Eric L. Adams, the Brooklyn borough president, says he has reversed his Type 2 diabetes through diet and exercise, without taking medication.",The New York Times,News,https://www.nytimes.com/2017/01/02/well/an-inspiring-story-of-weight-loss-and-its-aftermath.html,1109
586a4a2a95d0e03926078a0f,,By VANESSA PIAO,article,Chinese Court Says ‘Mr. C’ Was Fired Unjustifiably,"['Transgender and Transsexuals', 'Mr C', 'Discrimination', 'Suits and Litigation (Civil)', 'Guizhou (China)', 'China']",1,Foreign,10,2017-01-02 12:40:04,Asia Pacific,"The court ordered the company to pay the plaintiff, identified as Mr. C, 2,000 renminbi in compensation but did not grant his demand for an apology.",The New York Times,News,https://www.nytimes.com/2017/01/02/world/asia/china-transgender-lawsuit.html,533
586a518a95d0e03926078a18,,By AARON E. CARROLL,article,Cold Therapy? Maybe Better Save Your Money,"['Cryotherapy', 'Tissue (Human)']",1,Upshot,0,2017-01-02 13:11:34,Unknown,"Whole body cryotherapy, which began with elite athletes, is going mainstream, but there’s little evidence it helps.",The New York Times,News,https://www.nytimes.com/2017/01/02/upshot/cold-therapy-maybe-better-save-your-money.html,836
586ad1fa95d0e03926078ac7,,By DAVID WALDSTEIN,article,Shunned Stars of Steroid Era Are on Deck for Cooperstown,"['Doping (Sports)', 'Baseball', 'Baseball Hall of Fame', ""Baseball Writers' Assn of America"", 'Selig, Bud', 'Bonds, Barry', 'Clemens, Roger']",1,Sports,1,2017-01-02 22:19:33,Baseball,Some say it is hypocritical to continue rejecting former stars like Barry Bonds and Roger Clemens when nonplaying figures from that era have gotten in.,The New York Times,News,https://www.nytimes.com/2017/01/02/sports/baseball/hall-of-fame-steroids-baseball.html,1270
586af79995d0e03926078ae6,,By ROBIN RIDLESS,article,Picking Up a Personal Thread at an Office Party,"['Holidays and Special Occasions', 'Plaza Hotel (Manhattan, NY)', 'Rainbow Room (Manhattan, NY, Restaurant)', 'New York City']",0,Metro,18,2017-01-03 01:00:02,Unknown,An acquaintance from work shares something astounding about himself at two festive gatherings years apart.,The New York Times,News,https://www.nytimes.com/2017/01/02/nyregion/metropolitan-diary-picking-up-a-personal-thread-at-an-office-party.html,279
586afcfe95d0e03926078aee,,By ABBY GOODNOUGH and ROBERT PEAR,article,Health Reform Could Outlast Repeal Efforts,"['Health Insurance and Managed Care', 'Patient Protection and Affordable Care Act (2010)', 'United States Politics and Government', 'Indiana University', 'Obama, Barack']",1,National,1,2017-01-03 01:23:03,Politics,"A transformation of the delivery of health care may be an enduring legacy for the president, even as Republicans plan to repeal the Affordable Care Act.",The New York Times,News,https://www.nytimes.com/2017/01/02/us/politics/obama-health-care-affordable-care-act.html,3361
586b037e95d0e03926078af5,,By THE EDITORIAL BOARD,article,"Mr. Trump, Bureaucracy Apprentice","['Government Employees', 'United States Politics and Government', 'Federal Taxes (US)', 'Labor and Jobs', 'Trump, Donald J']",1,Editorial,22,2017-01-03 01:50:45,Unknown,"Mr. Trump is already making big mistakes by underestimating his new employees, federal workers.",The New York Times,Editorial,https://www.nytimes.com/2017/01/02/opinion/donald-trump-bureaucracy-apprentice.html,677
586b0a7495d0e03926078b03,,By ERIC LIPTON,article,House G.O.P. Votes to Gut an Office Reviewing Ethics,"['House of Representatives', 'House Committee on Ethics', 'Office of Congressional Ethics', 'Goodlatte, Robert W', 'Ethics and Official Misconduct', 'Republican Party']",1,National,1,2017-01-03 02:20:29,Politics,The move by emboldened Republicans on the eve of a new Congress would strip power and independence from an investigative body and give lawmakers control over ethics inquiries.,The New York Times,News,https://www.nytimes.com/2017/01/02/us/politics/with-no-warning-house-republicans-vote-to-hobble-independent-ethics-office.html,1152
586b0ba995d0e03926078b05,,By ALISSA J. RUBIN,article,‘Right to Disconnect’ From Work Email and Other Laws Go Into Effect in France,"['France', 'Work-Life Balance', 'E-Mail', 'Law and Legislation', 'Plastic Bags', 'Pesticides', 'Smoking and Tobacco', 'Divorce, Separations and Annulments']",0,Foreign,6,2017-01-03 02:25:31,Europe,"A raft of measures meant to balance modernity and tradition will make it easier to unplug from work email, protect the environment and get divorced.",The New York Times,News,https://www.nytimes.com/2017/01/02/world/europe/france-work-email.html,797
586b10be95d0e03926078b11,,"By EZRA LEVIN, LEAH GREENBERG and ANGEL PADILLA",article,Lessons From the Tea Party,"['Tea Party Movement', 'Democratic Party', 'House of Representatives', 'Senate', 'Republican Party', 'McConnell, Mitch', 'Schumer, Charles E', 'Trump, Donald J', 'United States Politics and Government', 'United States']",1,OpEd,23,2017-01-03 02:47:20,Unknown,It’s a simple playbook: organize locally and play defense.,The New York Times,Op-Ed,https://www.nytimes.com/2017/01/02/opinion/to-stop-trump-democrats-can-learn-from-the-tea-party.html,875
586b13b995d0e03926078b13,,By CAITLIN LOVINGER,article,All Talk,['Crossword Puzzles'],1,Games,0,2017-01-03 03:00:03,Unknown,Michael Shteyman makes the call.,The New York Times,News,https://www.nytimes.com/2017/01/02/crosswords/all-talk.html,638
586b53e095d0e03926078b52,,By GERRY MULLANY,article,Unknown,"['Air Pollution', 'Beijing (China)', 'Video Recordings, Downloads and Streaming']",1,Foreign,0,2017-01-03 07:33:47,Asia Pacific,"The pollution in Beijing has been particularly bad recently, and the city has been enveloped in smog for extended periods starting in October.",The New York Times,News,https://www.nytimes.com/2017/01/03/world/asia/beijing-smog-video.html,346
586b5a8195d0e03926078b5b,,By KATHERINE SCHULTEN,article,Winter Comforts,[],1,Learning,0,2017-01-03 08:02:02,Unknown,"What do you do to stay happy, productive and cozy during winter? What do you like about this season and what do you dislike?",The New York Times,News,https://www.nytimes.com/2017/01/03/learning/winter-comforts.html,108
586b5ef495d0e03926078b68,,By DAVID BROOKS,article,The Snapchat Presidency,"['Trump, Donald J', 'United States Politics and Government', 'Social Media']",1,OpEd,23,2017-01-03 08:21:02,Unknown,The next occupant (at least part time) of the White House won’t lead or communicate policy like a normal leader.,The New York Times,Op-Ed,https://www.nytimes.com/2017/01/03/opinion/the-snapchat-presidency-of-donald-trump.html,805
586b689c95d0e03926078b75,"After losing three limbs in Afghanistan, a Marine Corps veteran and his wife went through the process of in vitro fertilization treatments to have children.",By JAMES ESTRIN,blogpost,Unknown,"['Bitzer, Kirsten', 'Colorado', 'United States Marine Corps', 'Veterans Affairs Department', 'In Vitro Fertilization', 'Infertility', 'Photography', 'Pregnancy and Childbirth', 'Veterans']",1,Unknown,0,2017-01-03 09:02:10,Unknown,"After losing three limbs in Afghanistan, a Marine Corps veteran and his wife went through the process of in vitro fertilization treatments to have children.",The New York Times,Blog,https://lens.blogs.nytimes.com/2017/01/03/a-love-story-and-twins-for-a-combat-veteran-amputee/,769
586b763095d0e03926078b91,,By JON MOOALLEM,article,The House at the End of the World,"['Death and Dying', 'Miller, BJ (1971- )', 'Zen Hospice Project']",1,Magazine,39,2017-01-03 10:00:03,Unknown,"How B.J. Miller, a doctor and triple amputee, used his own experience to pioneer a new model of palliative care at a small, quirky hospice in San Francisco.",The New York Times,News,https://www.nytimes.com/2017/01/03/magazine/one-mans-quest-to-change-the-way-we-die.html,8022
586b762c95d0e03926078b8f,,By BEVERLY GAGE,article,Power Down,"['Presidential Election of 2016', 'United States Politics and Government']",1,Magazine,11,2017-01-03 10:00:04,Unknown,"For much of American history, anti-elite sentiment was a matter of up versus down, not left versus right. The 20th century changed that.",The New York Times,News,https://www.nytimes.com/2017/01/03/magazine/how-elites-became-one-of-the-nastiest-epithets-in-american-politics.html,1288
586b763e95d0e03926078b93,,By ELLEN BARRY,article,"Fraud Culture Rises in India, Aiming at U.S.","['India', 'Telephones and Telecommunications', 'Frauds and Swindling', 'Ahmedabad (India)', 'Internal Revenue Service', 'United States']",1,Foreign,1,2017-01-03 10:00:25,Asia Pacific,"The availability of computer-savvy, young, English-speaking job seekers and efficient technology have contributed to the growth in cyberfraud against Americans.",The New York Times,News,https://www.nytimes.com/2017/01/03/world/asia/india-call-centers-fraud-americans.html,2350
586b855895d0e03926078baf,,By JONATHAN WOLFE,article,"New York Today: New Year, New Commute",['New York City'],1,Metro,0,2017-01-03 11:04:47,Unknown,"Tuesday: Commuting on the Second Avenue line, a New Year’s Eve jewelry heist, and the first subway ride.",The New York Times,briefing,https://www.nytimes.com/2017/01/03/nyregion/new-york-today-new-year-new-commute-second-avenue-subway.html,1049
586b924d95d0e03926078bc5,,By LESLEY ALDERMAN,article,The Year of Conquering Negativity,"['Psychology and Psychologists', 'Pessimism', 'Therapy and Rehabilitation', 'Anxiety and Stress', 'Happiness']",1,Science,4,2017-01-03 12:00:03,Mind,"Constant negativity can get in the way of happiness, but with practice, you can learn to disrupt and tame negative cycles.",The New York Times,News,https://www.nytimes.com/2017/01/03/well/mind/the-year-of-conquering-negative-thinking.html,963
586b94c695d0e03926078bc9,,By SHANNON DOYNE,article,Questions for: ‘Leave Your Laptops at the Door to My Classroom’,[],1,Learning,0,2017-01-03 12:10:42,Unknown,How does a law school professor’s classroom rule help prepare his students for their careers?,The New York Times,News,https://www.nytimes.com/2017/01/03/learning/questions-for-leave-your-laptops-at-the-door-to-my-classroom.html,289
586b9cbd95d0e03926078bdb,,By SHANNON DOYNE,article,What Are Your Predictions for 2017?,[],1,Learning,0,2017-01-03 12:44:40,Unknown,"What do you think, or hope, might happen in the world this year?",The New York Times,News,https://www.nytimes.com/2017/01/03/learning/what-are-your-predictions-for-2017.html,492
586bac1e95d0e03926078bf5,,By GRETCHEN REYNOLDS,article,Is Your Workout Not Working?,"['Exercise', 'Research', 'PLoS One (Journal)', ""Queen's University"", 'University of Ottawa']",1,Science,4,2017-01-03 13:50:18,Move,"People who don’t benefit from endurance workouts may get results from interval training, and vice versa, a new study suggests.",The New York Times,News,https://www.nytimes.com/2017/01/03/well/move/is-your-workout-not-working-maybe-youre-a-non-responder.html,947
586bc2d995d0e03926078c1f,,By ERIC LIPTON and MATT FLEGENHEIMER,article,House G.O.P. Abandons Bid to Stifle Ethics Office,"['United States Politics and Government', 'House of Representatives', 'Office of Congressional Ethics', 'Ethics and Official Misconduct', 'Republican Party', 'Trump, Donald J']",1,National,1,2017-01-03 15:27:15,Politics,"Lawmakers, facing a storm of bipartisan criticism, including from President-elect Donald J. Trump, reversed their steps against the Office of Congressional Ethics.",The New York Times,News,https://www.nytimes.com/2017/01/03/us/politics/trump-house-ethics-office.html,1305
586bdace95d0e03926078c5f,,By NICHOLAS BAKALAR,article,Pregnancy: Pre-eclampsia and Eye Trouble,"['Preeclampsia', 'Eyes and Eyesight', 'Pregnancy and Childbirth']",1,Science,4,2017-01-03 17:09:27,Family,Women with pre-eclampsia had a higher rate of retinal detachment years later.,The New York Times,News,https://www.nytimes.com/2017/01/03/well/family/pregnancy-complication-tied-to-eye-problems-later-in-life.html,213
