abstract,articleID,articleWordCount,byline,documentType,headline,keywords,multimedia,newDesk,printPage,pubDate,sectionName,snippet,source,typeOfMaterial,webURL
,5adb8334068401528a2a9f74,1571,By THE EDITORIAL BOARD,article,The Opioid Crisis Foretold,"['Opioids and Opiates', 'Drug Abuse and Traffic', 'United States Politics and Government', 'Epidemics', 'Acquired Immune Deficiency Syndrome', 'Purdue Pharma']",68,Editorial,10,2018-04-21 18:30:10,Sunday Review,History supplies precedents and lessons for the opioid epidemic raging in America today — but we seem to have largely forgotten both.,The New York Times,Editorial,https://www.nytimes.com/2018/04/21/opinion/an-opioid-crisis-foretold.html
,5adb8331068401528a2a9f70,1221,By PETER FRITSCH and GLENN R. SIMPSON,article,The Business Deals That Could Imperil Trump,"['Russian Interference in 2016 US Elections and Ties to Trump Associates', 'Presidential Election of 2016', 'Money Laundering', 'Real Estate (Commercial)', 'Foreign Corrupt Practices Act (1977)', 'Trump Organization', 'Trump International Hotel and Tower (Panama City, Panama)', 'Trump SoHo (Manhattan, NY, Hotel)', 'Cohen, Michael D (1966- )', 'Mueller, Robert S III', 'Steele, Christopher (1964- )', 'Trump, Donald J']",68,OpEd,3,2018-04-21 18:30:06,Sunday Review,Forget Stormy Daniels. The business records subpoenaed by Robert Mueller might be Donald Trump’s greatest legal headache.,The New York Times,Op-Ed,https://www.nytimes.com/2018/04/21/opinion/sunday/trump-business-mueller-money-laundering.html
,5adb8330068401528a2a9f6f,1465,By CHRISTOPHER A. PREBLE,article,Adapting to American Decline,"['United States International Relations', 'United States Defense and Military Forces', 'South Korea']",68,OpEd,1,2018-04-21 18:30:05,Sunday Review,The United States is losing its influence as its relative power erodes. How should it manage the transition without destabilizing everyone else?,The New York Times,Op-Ed,https://www.nytimes.com/2018/04/21/opinion/sunday/adapting-to-american-decline.html
,5adb8330068401528a2a9f6d,1097,By FRANK BRUNI,article,The Republicans’ Big Senate Mess,"['United States Politics and Government', 'Elections, Senate']",67,OpEd,3,2018-04-21 18:30:04,Sunday Review,"A convict in West Virginia, bondage in Missouri and a wacky contest for control of the chamber.",The New York Times,Op-Ed,https://www.nytimes.com/2018/04/21/opinion/sunday/republicans-senate-midterms.html
,5adb8330068401528a2a9f6e,1306,By SHARON LERNER,article,States Are Doing What Scott Pruitt Won’t,"['Water Pollution', 'Hazardous and Toxic Substances', 'Environmental Protection Agency']",68,OpEd,2,2018-04-21 18:30:04,Sunday Review,"The federal government may ignore the environment, but we can’t afford to.",The New York Times,Op-Ed,https://www.nytimes.com/2018/04/21/opinion/sunday/states-are-doing-what-scott-pruitt-wont.html
,5adb832f068401528a2a9f6c,957,By MAUREEN DOWD,article,"Fake Pearls, Real Heart","['Bush, Barbara', 'Bush, George W', 'Reagan, Nancy', 'Kennebunkport (Me)']",67,OpEd,11,2018-04-21 18:30:02,Sunday Review,"With the blunt and plain-spoken and often funny Barbara Bush, you always knew where you stood.",The New York Times,Op-Ed,https://www.nytimes.com/2018/04/21/opinion/sunday/barbara-bush-maureen-dowd.html
,5adb832c068401528a2a9f6b,922,By STEVEN W. THRASHER,article,Fear Beyond Starbucks,"['Race and Ethnicity', 'Blacks', 'Discrimination', 'Whites', 'Police', 'Police Department (NYC)']",68,OpEd,11,2018-04-21 18:30:01,Sunday Review,White people who see black people through racism’s lens can often count on the police to share their outlook.,The New York Times,Op-Ed,https://www.nytimes.com/2018/04/21/opinion/sunday/starbucks-racism-white-people.html
,5adb6007068401528a2a9f44,750,By CAITLIN LOVINGER,article,Variety: Puns and Anagrams,['Crossword Puzzles'],0,Games,0,2018-04-21 16:00:00,Unknown,Mel Taub is back with some head-spinners.,The New York Times,News,https://www.nytimes.com/2018/04/21/crosswords/variety-puns-and-anagrams.html
,5adb5fe8068401528a2a9f43,3038,By STEVE EDER and HIROKO TABUCHI,article,E.P.A. Chief’s Ethics Woes Have Echoes in His Past,"['Politics and Government', 'Lobbying and Lobbyists', 'Attorneys General', 'State Legislatures', 'Superfund', 'Telephones and Telecommunications', 'AT&T Inc', 'Environmental Protection Agency', 'Republican Party', 'Pruitt, Scott', 'Oklahoma City (Okla)', 'Tulsa (Okla)']",68,Investigative,1,2018-04-21 15:59:33,Politics,The E.P.A. chief is under scrutiny for high spending and interactions with lobbyists. Many of the pitfalls he has encountered in Washington have echoes in his past.,The New York Times,News,https://www.nytimes.com/2018/04/21/us/politics/scott-pruitt-oklahoma-epa.html
,5adb535d068401528a2a9f2e,2660,By AMANDA TAUB and MAX FISHER,article,Where Facebook Rumors Fuel Thirst for Revenge,"['Facebook Inc', 'Sri Lanka', 'Demonstrations, Protests and Riots', 'Rumors and Misinformation', 'Sinhalese (Ethnic Group)', 'Muslims and Islam', 'Buddhism', 'WhatsApp Inc', 'Social Media']",68,Foreign,1,2018-04-21 15:06:02,Asia Pacific,"False rumors set Buddhist against Muslim in Sri Lanka, the most recent in a global spate of violence fanned by social media.",The New York Times,News,https://www.nytimes.com/2018/04/21/world/asia/facebook-sri-lanka-riots.html
,5adb43e9068401528a2a9f19,419,By RONDA KAYSEN,article,The House Next Door Is an Airbnb. Here’s What You Can Do About It.,"['Renting and Leasing (Real Estate)', 'Real Estate and Housing (Residential)', 'Airbnb']",56,RealEstate,2,2018-04-21 14:00:04,Unknown,What recourse do residents have if their neighbors decide to rent out their homes through sites like Airbnb and VRBO?,The New York Times,News,https://www.nytimes.com/2018/04/21/realestate/can-i-stop-my-neighbor-from-running-an-airbnb.html
,5ada9b24068401528a2a9e88,939,By CAITLIN LOVINGER,article,Punch the Air,['Crossword Puzzles'],68,Games,0,2018-04-21 02:00:01,Unknown,Daniel Nierenberg drops some science on us in this challenging debut.,The New York Times,News,https://www.nytimes.com/2018/04/20/crosswords/daily-puzzle-2018-04-21.html
