abstract,articleID,articleWordCount,byline,documentType,headline,keywords,multimedia,newDesk,printPage,pubDate,sectionName,snippet,source,typeOfMaterial,webURL
,5906b3197c459f24986dd003,2412,By IAN JOHNSON,article,My Beijing: The Sacred City,"['Travel and Vacations', 'Beijing (China)', 'Religion and Belief']",3,Travel,1,2017-05-01 04:01:21,Unknown,"This metropolis was once a total work of art, epitomizing the religious and political system that ran China for millennia. The remnants of that time are being restored anew.",The New York Times,News,https://www.nytimes.com/2017/05/01/travel/beijing-china-history-sacred-city-temples-culture.html
,5906b3297c459f24986dd004,2318,By EMMA G. FITZSIMMONS,article,"6 Million Riders a Day, 1930s Technology","['Subways', 'Delays (Transportation)', 'Transit Systems', 'Infrastructure (Public Works)', 'Commuting', 'London Underground', 'Metropolitan Transportation Authority', 'Transport for London', 'Cuomo, Andrew M', 'Prendergast, Thomas F', 'New York City', 'London (England)']",68,Metro,1,2017-05-01 04:01:33,Unknown,New York’s subway is struggling with old infrastructure and overcrowding. The M.T.A.’s failure to modernize its signal system is a crucial example.,The New York Times,News,https://www.nytimes.com/2017/05/01/nyregion/new-york-subway-signals.html
,5906ceec7c459f24986dd021,1795,By MARC TRACY,article,Seeking a Cross-Border Conference,"['Cetys University', 'College Athletics', 'National Collegiate Athletic Assn', 'Tijuana (Mexico)', 'Mexico']",3,Sports,1,2017-05-01 06:00:05,Unknown,Cetys University is making an ambitious bid to become the first Mexican member of the N.C.A.A.,The New York Times,News,https://www.nytimes.com/2017/05/01/sports/mexico-cetys-ncaa-border.html
,5906cfa77c459f24986dd022,213,By SHANNON DOYNE,article,"Questions for: ‘Despite the “Yuck Factor,” Leeches Are Big in Russian Medicine’",[],3,Learning,0,2017-05-01 06:03:03,Unknown,How are leeches used to treat various medical conditions in Russia?,The New York Times,News,https://www.nytimes.com/2017/05/01/learning/questions-for-despite-the-yuck-factor-leeches-are-big-in-russian-medicine.html
,5906e1c07c459f24986dd039,1342,By JASON STANLEY,article,Who Is a ‘Criminal’?,"['Illegal Immigration', 'Traffic and Parking Violations', 'Citizenship and Naturalization', 'Deportation', 'Human Rights and Human Rights Violations', 'Trump, Donald J', 'Roberts, John G Jr', 'United States']",3,OpEd,0,2017-05-01 07:20:26,Unknown,Justice Roberts was right. The Trump administration should not have the power to revoke the citizenship of “anyone they want.”,The New York Times,Op-Ed,https://www.nytimes.com/2017/05/01/opinion/who-is-a-criminal.html
,5906e1f27c459f24986dd045,885,By CHARLOTTE MCDONALD-GIBSON,article,An Antidote to Europe’s Populism,"['European Union', 'Europe', 'Elections', 'Le Pen, Marine', 'Macron, Emmanuel (1977- )', 'Merkel, Angela', 'Middle East and Africa Migrant Crisis', 'Immigration and Emigration', 'Wilders, Geert', 'Hofer, Norbert (1971- )', 'France', 'Netherlands', 'Germany']",3,OpEd,23,2017-05-01 07:21:13,Unknown,Beating back the radical right is clearly possible. But the work isn’t done yet.,The New York Times,Op-Ed,https://www.nytimes.com/2017/05/01/opinion/populism-has-not-peaked-in-europe-the-fight-continues.html
,5906e1f17c459f24986dd044,676,By THE EDITORIAL BOARD,article,The Cost of a Speech,"['United States Politics and Government', 'Speeches and Statements', 'Obama, Barack', 'United States', 'Cantor Fitzgerald LP']",3,Editorial,22,2017-05-01 07:21:13,Unknown,"In an era of purchased influence, why can’t former President Barack Obama set a higher standard?",The New York Times,Editorial,https://www.nytimes.com/2017/05/01/opinion/the-cost-of-barack-obamas-speech.html
,5906e1f17c459f24986dd042,807,By CHARLES M. BLOW,article,Degradation of the Language,"['Trump, Donald J', 'Presidential Election of 2016', 'English Language', 'United States Politics and Government']",3,Editorial,23,2017-05-01 07:21:15,Unknown,"In Trump world, facts don’t matter, truth doesn’t matter, language doesn’t matter.",The New York Times,Op-Ed,https://www.nytimes.com/2017/05/01/opinion/donald-trump-degradation-of-the-language.html
,5906e1f17c459f24986dd043,816,By PAUL KRUGMAN,article,On the Power of Being Awful,"['Trump, Donald J', 'United States Politics and Government', 'Voting and Voters', 'Polls and Public Opinion']",3,Editorial,23,2017-05-01 07:21:16,Unknown,Trump supporters will never admit they were wrong.,The New York Times,Op-Ed,https://www.nytimes.com/2017/05/01/opinion/donald-trump-on-the-power-of-being-awful.html
,5906f9307c459f24986dd069,1124,By ROBERT PEAR,article,Trump Garbles Pitch on a Revised Health Bill,"['United States Politics and Government', 'Health Insurance and Managed Care', 'Patient Protection and Affordable Care Act (2010)', 'House of Representatives', 'Trump, Donald J']",3,National,17,2017-05-01 09:00:26,Politics,"President Trump has insisted that the bill would not allow discrimination against people with pre-existing conditions, an assertion contradicted by health policy experts.",The New York Times,News,https://www.nytimes.com/2017/05/01/us/politics/trump-health-care.html
