Date,Open,High,Low,Volume,Close
2018-02-05,262.0,267.899994,250.029999,11896100,254.259995
2018-02-06,247.699997,266.700012,245.0,12595800,265.720001
2018-02-07,266.579987,272.450012,264.329987,8981500,264.559998
2018-02-08,267.079987,267.619995,250.0,9306700,250.100006
2018-02-09,253.850006,255.800003,236.110001,16906900,249.470001
2018-02-12,252.139999,259.149994,249.0,8534900,257.950012
2018-02-13,257.290009,261.410004,254.699997,6855200,258.269989
2018-02-14,260.470001,269.880005,260.329987,10972000,266.0
2018-02-15,270.029999,280.5,267.630005,10759700,280.269989
2018-02-16,278.730011,281.959991,275.690002,8312400,278.519989
2018-02-20,277.73999,285.809998,276.609985,7769000,278.549988
2018-02-21,282.070007,286.640015,280.01001,9371100,281.040009
2018-02-22,283.880005,284.5,274.450012,8891500,278.140015
2018-02-23,281.0,286.0,277.809998,7301800,285.929993
2018-02-26,288.75,295.649994,287.01001,10268600,294.160004
2018-02-27,294.769989,297.359985,290.589996,9416500,290.609985
2018-02-28,293.100006,295.75,290.779999,7653500,291.380005
2018-03-01,292.75,295.25,283.829987,11932100,290.390015
2018-03-02,284.649994,301.179993,283.230011,13345300,301.049988
2018-03-05,302.850006,316.910004,297.600006,18986100,315.0
2018-03-06,319.880005,325.790009,316.5,18525800,325.220001
2018-03-07,320.0,323.73999,314.549988,17132200,321.160004
2018-03-08,322.200012,322.920013,314.130005,11340100,317.0
2018-03-09,321.329987,331.440002,320.230011,14500200,331.440002
2018-03-12,333.559998,333.980011,318.600006,20369200,321.299988
2018-03-13,323.869995,325.839996,313.279999,12917200,315.880005
2018-03-14,318.160004,323.880005,317.700012,10475100,321.549988
2018-03-15,323.170013,323.399994,318.140015,5642900,321.089996
2018-03-16,321.420013,324.109985,318.369995,7333700,318.450012
2018-03-19,315.799988,317.0,307.339996,9925200,313.480011
2018-03-20,313.26001,319.5,312.799988,5991900,317.5
2018-03-21,316.350006,319.399994,314.51001,5263900,316.480011
2018-03-22,313.070007,314.119995,305.660004,8063300,306.700012
2018-03-23,307.410004,309.369995,300.359985,9529900,300.940002
2018-03-26,309.359985,321.029999,302.0,11988300,320.350006
2018-03-27,322.48999,322.899994,297.0,12068600,300.690002
2018-03-28,298.390015,298.799988,281.609985,18972900,285.769989
2018-03-29,287.0,295.350006,275.899994,19145500,295.350006
2018-04-02,291.940002,292.869995,275.049988,13405800,280.290009
2018-04-03,285.450012,291.25,278.01001,12694900,283.670013
2018-04-04,273.630005,290.309998,271.220001,12914000,288.940002
2018-04-05,293.149994,299.160004,289.109985,10655200,293.970001
2018-04-06,289.100006,298.850006,285.649994,11444800,288.850006
2018-04-09,291.769989,299.549988,289.119995,9853600,289.929993
2018-04-10,297.679993,298.950012,291.690002,10660500,298.070007
2018-04-11,302.880005,311.640015,301.820007,14877400,303.670013
2018-04-12,309.720001,311.130005,306.75,10249400,309.25
2018-04-13,317.290009,317.48999,308.230011,12046600,311.649994
2018-04-16,315.98999,316.100006,304.0,20307900,307.779999
2018-04-17,329.660004,338.619995,323.769989,33866500,336.059998
2018-04-18,336.299988,338.820007,331.100006,11221100,334.519989
2018-04-19,332.880005,335.309998,326.769989,8438800,332.700012
2018-04-20,332.220001,336.51001,326.0,9158700,327.769989
2018-04-23,329.149994,331.220001,317.079987,8968000,318.690002
2018-04-24,319.220001,320.25,302.309998,13893200,307.019989
2018-04-25,306.369995,309.980011,292.619995,14919700,305.76001
2018-04-26,310.0,316.630005,305.579987,9266700,313.980011
