articleID,byline,documentType,headline,keywords,multimedia,newDesk,printPage,pubDate,sectionName,snippet,source,typeOfMaterial,webURL,articleWordCount
5a7258e410f40f00018bed7d,By NICHOLAS KRISTOF,article,I Stand  With the ‘She-Devils’,"['Women and Girls', ""Women's Rights"", 'United States Politics and Government', '#MeToo Movement', 'Sexual Harassment', 'Elections, Senate', 'Smith, Margaret Chase', 'Missouri']",68,OpEd,23,2018-02-01 00:01:36,Unknown,"Progress on women’s rights was stalling, and then Donald Trump came along.",The New York Times,Op-Ed,https://www.nytimes.com/2018/01/31/opinion/courtland-sykes-senate-me-too.html,835
5a725f2410f40f00018bed89,By GAIL COLLINS,article,Trump’s Birth Control Problems,"['Trump, Donald J', 'Clifford, Stephanie (1979- )', 'Birth Control and Family Planning', 'Abortion', 'United States Politics and Government']",68,OpEd,23,2018-02-01 00:28:16,Unknown,Plus: the night the porn star yawned.,The New York Times,Op-Ed,https://www.nytimes.com/2018/01/31/opinion/trump-birth-control-problems.html,864
5a725f4210f40f00018bed8a,By LARA TAKENAGA,article,What’s the Craziest Thing You’ve Ever Found in a Xerox Machine?,"['New York Times', 'Xerox Corporation', 'Fujifilm Corp', 'Pentagon Papers', 'Paper and Pulp']",68,NewsDesk,0,2018-02-01 00:28:46,Unknown,"The bulky copiers could soon become an office relic. Tell us your stories of documents that made you laugh, blush or learn something new.",The New York Times,News,https://www.nytimes.com/2018/01/31/reader-center/xerox-memories.html,203
5a72646310f40f00018bed97,By THE EDITORIAL BOARD,article,U.S. Allies’ Conflict Is ISIS’ Gain,"['United States International Relations', 'Kurds', ""Kurdistan Workers' Party"", ""People's Protection Units (YPG)"", 'Erdogan, Recep Tayyip', 'Afrin (Syria)', 'Syria', 'Turkey']",65,Editorial,22,2018-02-01 00:50:37,Unknown,"Turkey’s attacks on Syrian Kurds, America’s strongest regional ally, threaten the successes against the extremists.",The New York Times,Editorial,https://www.nytimes.com/2018/01/31/opinion/editorials/us-allies-isis-turkey.html,899
5a72686b10f40f00018bed9e,By JIM TANKERSLEY and JULIE HIRSCHFELD DAVIS,article,"$1.5 Trillion Plan on Infrastructure, but Not a Lot of Funding or Details","['Infrastructure (Public Works)', 'Trump, Donald J', 'Federal Budget (US)', 'Bridges and Tunnels', 'Gasoline Tax (US)', 'United States Chamber of Commerce', 'Democratic Party']",68,Washington,14,2018-02-01 01:07:50,Politics,"The proposal received a cool reception from Democrats, who disagree with the president over how to finance the nation’s ailing roads, bridges and other infrastructure.",The New York Times,News,https://www.nytimes.com/2018/01/31/us/politics/trump-infrastructure-plan.html,1116
5a72728f10f40f00018bedac,"By JO BECKER, MARK MAZZETTI, MATT APUZZO and MAGGIE HABERMAN",article,Mueller Zeros In on a Trump Tower Cover Story,"['Trump, Donald J', 'Russian Interference in 2016 US Elections and Ties to Trump Associates', 'Mueller, Robert S III', 'Special Prosecutors (Independent Counsel)', 'United States Politics and Government', 'Presidential Election of 2016', 'Corallo, Mark', 'Trump, Donald J Jr', 'Hicks, Hope C (1988- )', 'Russia']",65,Washington,1,2018-02-01 01:51:07,Politics,"Robert S. Mueller III, the special counsel, has pressed witnesses about a statement hastily written last summer aboard Air Force One and wants to know more from President Trump.",The New York Times,News,https://www.nytimes.com/2018/01/31/us/politics/trump-russia-hope-hicks-mueller.html,1774
5a72758a10f40f00018bedb2,By MICHAEL D. SHEAR and PETER BAKER,article," With Speech, A ‘Dreamers’ Rift Deepens","['Deferred Action for Childhood Arrivals', 'Dream Act (Development, Relief and Education for Minors Act)', 'Illegal Immigration', 'Citizenship and Naturalization', 'Trump, Donald J', 'United States Politics and Government', 'State of the Union Message (US)', 'Senate', 'House of Representatives', 'Democratic Party', 'Republican Party']",68,Washington,1,2018-02-01 02:03:50,Politics,"If the president believed his State of the Union address would bring the bipartisan agreement he says he seeks any closer, he received little encouragement on Wednesday.",The New York Times,News Analysis,https://www.nytimes.com/2018/01/31/us/politics/trump-state-of-the-union-immigration.html,1322
5a7282d110f40f00018bedc8,By DEB AMLEN,article,At the Start,['Crossword Puzzles'],68,Games,0,2018-02-01 03:00:30,Unknown,Damon Gulczynski begins at the beginning.,The New York Times,News,https://www.nytimes.com/2018/01/31/crosswords/daily-puzzle-2018-02-01.html,337
5a7297d010f40f00018bede0,By SEWELL CHAN,article,‘The Assassination of Gianni Versace’ Episode 3: Death or Disgrace?,"['Television', 'The Assassination of Gianni Versace: American Crime Story (TV Program)']",66,Culture,0,2018-02-01 04:30:01,Television,"At its core, this week’s episode poses a question about love: Can two people find sustenance in a marriage built on lies?",The New York Times,Review,https://www.nytimes.com/2018/01/31/arts/television/the-assassination-of-gianni-versace-american-crime-story-recap-a-random-killing.html,1425
5a729b6a10f40f00018bede2,By KIMIKO de FREYTAS-TAMURA,article,Britain’s Model for Outsourcing Services May Be Cracking,"['Great Britain', 'Outsourcing', 'Elder Care', 'Home Health Care', 'Local Government', 'Budgets and Budgeting', 'Government Contracts and Procurement']",68,Foreign,4,2018-02-01 04:45:25,Europe,"For a generation, Britain has eagerly enlisted private contractors to provide social services. But the model may be cracking under the pressure of austerity.",The New York Times,News,https://www.nytimes.com/2018/01/31/world/europe/britain-outsourcing-elderly-care.html,1354
